,,,Solihull,E08000029 (00CT),1.97,1.91,1.92,2.01,1.92,-4.6
,,,Walsall,E08000030 (00CU),3.05,2.94,2.91,2.91,3.00,3.0
,,,Wolverhampton,E08000031 (00CW),3.51,3.56,3.47,3.50,3.47,-0.8
,EAST,,,E12000006 (G),2.03,2.02,1.99,2.00,2.01,0.8
,,Bedford UA,,E06000055 (00KB),2.44,2.41,2.42,2.44,2.21,-9.3
,,Central Bedfordshire UA,,E06000056 (00KC),1.91,1.91,1.80,1.87,1.83,-1.8
,,Luton UA,,E06000032 (00KA),3.08,3.12,3.10,2.75,2.84,3.3
,,Peterborough UA,,E06000031 (00JA),1.67,1.82,1.80,1.67,1.72,3.4
,,Southend-on-Sea UA,,E06000033 (00KF),3.08,3.02,3.17,3.18,3.22,1.4
,,Thurrock UA,,E06000034 (00KG),1.59,1.62,1.52,1.55,1.57,1.1
,,Cambridgeshire,,E10000003 (12),1.88,1.87,1.88,1.88,1.90,0.8
,,Essex,,E10000012 (22),1.96,1.95,1.94,2.00,2.05,2.4
,,Hertfordshire,,E10000015 (26),2.29,2.23,2.10,2.07,2.13,2.8
,,Norfolk,,E10000020 (33),1.91,1.90,1.90,1.92,1.91,-0.7
,,Suffolk,,E10000029 (42),1.96,1.94,1.95,1.95,1.94,-0.3
,LONDON,,,E12000007 (H),3.78,3.80,3.67,3.63,3.65,0.6
,,Inner London,,E13000001 (1B),4.77,4.82,4.71,4.60,4.71,2.3
,,,Camden,E09000007 (00AG),6.04,6.49,6.31,6.12,6.25,2.0
,,,City of London,E09000001 (00AA),6.87,6.78,6.58,6.13,6.52,6.4
,,,Hackney,E09000012 (00AM),4.72,4.79,4.69,4.70,4.88,3.8
,,,Hammersmith and Fulham,E09000013 (00AN),4.50,4.61,4.15,4.27,4.25,-0.3
,,,Haringey,E09000014 (00AP),5.02,4.91,4.74,4.74,4.82,1.7
,,,Islington,E09000019 (00AU),5.93,6.01,5.86,5.83,5.91,1.4
,,,Kensington and Chelsea,E09000020 (00AW),4.65,4.77,4.65,4.63,5.31,14.7
,,,Lambeth,E09000022 (00AY),5.32,5.26,5.43,5.29,5.30,0.3
,,,Lewisham,E09000023 (00AZ),5.41,5.74,5.34,5.21,5.21,0.0
,,,Newham,E09000025 (00BB),2.45,2.55,2.60,2.52,2.55,0.9
,,,Southwark,E09000028 (00BE),5.37,5.64,5.71,5.61,5.62,0.1
,,,Tower Hamlets,E09000030 (00BG),4.31,4.08,4.06,3.69,3.80,3.0
,,,Wandsworth,E09000032 (00BJ),5.32,5.19,4.94,5.08,4.87,-4.2
,,,Westminster,E09000033 (00BK),5.32,5.37,5.38,5.33,5.80,8.9
,,Outer London,,E13000002 (1C),3.36,3.37,3.24,3.24,3.24,0.1
,,,Barking and Dagenham,E09000002 (00AB),3.14,3.27,3.37,3.40,3.46,1.7
,,,Barnet,E09000003 (00AC),3.56,3.50,3.52,3.55,3.56,0.3
,,,Bexley,E09000004 (00AD),2.68,2.54,2.49,2.49,2.53,1.4
,,,Brent,E09000005 (00AE),3.78,3.75,3.84,3.70,3.45,-6.8
,,,Bromley,E09000006 (00AF),3.25,3.17,3.19,3.14,3.13,-0.4
,,,Croydon,E09000008 (00AH),3.88,3.91,3.90,3.89,3.85,-1.0
,,,Ealing,E09000009 (00AJ),3.73,3.76,3.50,3.30,3.12,-5.6
,,,Enfield,E09000010 (00AK),3.26,3.38,3.26,3.29,3.71,12.8
,,,Greenwich,E09000011 (00AL),3.87,4.15,3.60,3.67,3.67,0.2
,,,Harrow,E09000015 (00AQ),3.85,3.69,3.67,3.72,3.61,-3.0
,,,Havering,E09000016 (00AR),2.50,2.58,2.53,2.47,2.48,0.3
,,,Hillingdon,E09000017 (00AS),2.65,2.56,2.43,2.47,2.57,3.8
,,,Hounslow,E09000018 (00AT),4.01,3.97,3.65,3.64,3.64,0.0
,,,Kingston upon Thames,E09000021 (00AX),2.82,2.87,2.57,2.66,2.46,-7.4
,,,Merton,E09000024 (00BA),4.48,4.39,4.26,4.39,4.30,-2.0
,,,Redbridge,E09000026 (00BC),2.80,2.80,2.87,2.80,2.95,5.1
,,,Richmond upon Thames,E09000027 (00BD),4.49,4.41,4.11,4.25,4.22,-0.5
,,,Sutton,E09000029 (00BF),3.96,3.96,3.76,3.94,3.78,-4.1
,,,Waltham Forest,E09000031 (00BH),2.69,2.80,2.72,2.79,2.79,0.0
,SOUTH EAST,,,E12000008 (J),2.21,2.21,2.17,2.20,2.18,-1.1
,,Bracknell Forest UA,,E06000036 (00MA),2.14,2.11,2.06,2.05,2.10,2.4
,,Brighton and Hove UA,,E06000043 (00ML),3.40,3.43,3.31,3.39,3.37,-0.5
,,Isle of Wight UA,,E06000046 (00MW),2.41,2.43,2.44,2.52,2.48,-1.7
,,Medway UA,,E06000035 (00LC),2.42,2.43,2.40,2.54,2.40,-5.6
,,Milton Keynes UA,,E06000042 (00MG),1.81,1.90,1.70,1.74,1.72,-1.0
,,Portsmouth UA,,E06000044 (00MR),3.60,3.44,3.55,3.48,3.51,0.7
,,Reading UA,,E06000038 (00MC),4.45,4.28,3.93,4.08,4.01,-1.9
,,Slough UA,,E06000039 (00MD),3.75,3.78,3.71,3.71,3.85,3.5
,,Southampton UA,,E06000045 (00MS),3.43,3.49,3.48,3.58,3.53,-1.4
,,West Berkshire UA,,E06000037 (00MB),2.11,2.15,2.03,2.05,2.04,-0.8
,,Windsor and Maidenhead UA,,E06000040 (00ME),2.32,2.34,2.37,2.37,2.39,0.8
,,Wokingham UA,,E06000041 (00MF),2.20,2.15,2.13,2.28,2.14,-5.9
,,Buckinghamshire,,E10000002 (11),2.11,2.14,2.11,2.12,2.11,-0.3
,,East Sussex,,E10000011 (21),2.04,2.04,2.01,2.07,2.05,-0.6
,,Hampshire,,E10000014 (24),1.89,1.90,1.85,1.88,1.86,-1.1
,,Kent,,E10000016 (29),2.16,2.14,2.10,2.12,2.09,-1.1
,,Oxfordshire,,E10000025 (38),1.92,1.90,1.89,1.90,1.88,-1.2
,,Surrey,,E10000030 (43),2.52,2.54,2.51,2.50,2.49,-0.7
,,West Sussex,,E10000032 (45),1.91,1.92,1.94,1.96,1.93,-1.9
,SOUTH WEST,,,E12000009 (K),2.10,2.10,2.08,2.09,2.10,0.1
,,Bath and North East Somerset UA,,E06000022 (00HA),2.74,2.79,2.66,2.68,2.68,0.0
,,Bournemouth UA,,E06000028 (00HN),2.50,2.59,2.36,2.43,2.46,1.5
,,"Bristol, City of UA",,E06000023 (00HB),4.07,3.98,3.78,3.85,3.86,0.3
,,Cornwall UA,,E06000052 (00HE),1.85,1.83,1.82,1.84,1.83,-0.6
,,Isles of Scilly UA,,E06000053 (00HF),..,..,..,..,..,..
,,North Somerset UA,,E06000024 (00HC),2.07,2.07,2.03,2.04,2.01,-1.5
,,Plymouth UA,,E06000026 (00HG),2.80,2.78,2.77,2.85,3.08,8.2
,,Poole UA,,E06000029 (00HP),2.69,2.54,2.55,2.50,2.54,1.4
,,South Gloucestershire UA,,E06000025 (00HD),2.37,2.39,2.37,2.41,2.44,1.3
,,Swindon UA,,E06000030 (00HX),2.31,2.30,2.30,2.27,2.26,0.0
,,Torbay UA,,E06000027 (00HH),2.58,2.61,2.60,2.57,2.73,6.3
,,Wiltshire UA,,E06000054 (00HY),1.87,1.88,1.87,1.88,1.87,-0.4
,,Devon,,E10000008 (18),1.89,1.88,1.87,1.87,1.86,-0.6
,,Dorset,,E10000009 (19),1.68,1.69,1.73,1.74,1.74,-0.4
,,Gloucestershire,,E10000013 (23),2.06,2.04,2.04,2.05,2.04,-0.5
,,Somerset,,E10000027 (40),1.92,1.92,1.92,1.92,1.91,-0.5
,,,,,,,,,,
1. Morning peak has been defined as 7am to 10am. Weekdays falling within school holiday periods excluded.,,,,,,,,,,
2. Average journey times are measured in both directions.,,,,,,,,,,
3. Academic years - September to July.,,,,,,,,,,
,,,,,,,,,,
.. = not available,,,,,,,,,,
,,,,,,,,,,
Notes & definitions,,,,,,,,,,
,,,,,,,,,,Source: DfT Congestion Data
Telephone: 020 7944 6579,,,,,,,,,,Last updated: November 2012
Email: ,,,congestion.stats@dft.gsi.gov.uk ,,,,,,,Next update: November 2013
