TSGB0401,,,,,,,,,,,,,,,,,,,,,,,,
Freight,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Domestic freight transport: by mode: 1953-2011,,,,,,,,,,,,,,,,,,,,,,,,
For greater detail for the years 2000-2011 see Table TSGB0403,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Goods moved (billion tonne kilometres),,,,,,Goods lifted (million tonnes),,,,,,,,,,,,,,,,,
1988,130,18,59,11,219,,"1,758",150,156,99,"2,163",,,,,,,,,,,,,
1989,138,17,58,10,222,,"1,812",143,155,93,"2,203",,,,,,,,,,,,,
1990,136,16,56,11,219,,"1,749",138,152,121,"2,160",,,,,,,,,,,,,
1991,130,15,58,11,214,,"1,600",136,144,105,"1,985",,,,,,,,,,,,,
1992,127,16,55,11,209,,"1,555",122,140,106,"1,923",,,,,,,,,,,,,
1993,135,14,51,12,211,,"1,615",103,134,125,"1,977",,,,,,,,,,,,,
1994,144,13,52,12,221,,"1,689",97,140,161,"2,087",,,,,,,,,,,,,
1995,150,13,53,11,227,,"1,701",101,143,168,"2,113",,,,,,,,,,,,,
1996,154,15,55,12,236,,"1,730",102,142,157,"2,131",,,,,,,,,,,,,
1997,157,17,48,11,234,,"1,740",105,142,148,"2,135",,,,,,,,,,,,,
1998,160,17,57,12,246,,"1,727",102,149,153,"2,131",,,,,,,,,,,,,
1999,158,18,59,12,246,,"1,664",96,144,155,"2,059",,,,,,,,,,,,,
2000,159,18,67,11,256,,"1,693",96,137,150,"2,077",,,,,,,,,,,,,
2001,159,19,59,12,248,,"1,682",94,131,150,"2,058",,,,,,,,,,,,,
2002,159,19,67,11,256,,"1,734",87,139,146,"2,106",,,,,,,,,,,,,
2003,162,19,61,10,252,,"1,753",89,133,141,"2,116",,,,,,,,,,,,,
2004,163,20,59,11,253,,"1,863",101,127,158,"2,249",,,,,,,,,,,,,
2005,163,22,61,11,257,,"1,868",105,133,168,"2,275",,,,,,,,,,,,,
2006,163,22,52,10,248,,"1,901",108,126,159,"2,294",,,,,,,,,,,,,
2007,169,21,51,10,251,,"1,953",102,126,146,"2,328",,,,,,,,,,,,,
2008,157,21,50,10,238,,"1,800",103,123,147,"2,173",,,,,,,,,,,,,
2009,137,19,49,10,215,,"1,488",87,110,148,"1,833",,,,,,,,,,,,,
2010,151,19,42,10,222,,"1,621",90,106,149,"1,966",,,,,,,,,,,,,
2011,..,21,43,10,..,,..,102,104,151,..,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1  Discontinuities in the series (denoted by lines) are described in detail in the Notes and Definitions.,,,,,,,,,,,,,,,,,,,,,,,,
"2  Statistics for all goods vehicles, including those under 3.5 tonnes gross vehicle weight.",,,,,,,,,,,Rail: 020 7944 2419,,,,,,,,,,,,,
3  Figures for rail are for financial years (e.g. 2011 will be 2011/12).,,,,,,,,,,, Road: 020 7944 4261,,,,,,,,,,,,,
4  Road freight figures are not available for 2011,,,,,,,,,,,Water: 020 7944 3087,,,,,,,,,,,,,
,,,,,,,,,,,Pipeline: 020 7215 2718,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sources:,,,,,,,,,,,,,
The rail figures in this table are outside the scope of National Statistics,,,,,,,,,,,Road and water - DfT,,,,,,,,,,,,,
,,,,,,,,,,,Rail - ORR,,,,,,,,,,,,,
,,,,,,,,,,,Pipeline - DECC,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Last updated: December 2012,,,,,,,,,,,,,
,,,,,,,,,,,Next update: December 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
