2011 Q1 p,408.4,15.2,2.7,2.4,0.5,,36.4,1.1,1.7,0.4,0.1,
Percentage change between,,,,,,,,,,,,
Q1 2010 - Q1 2011,15,1,10,37,-6,,5,30,0,23,-36,
,,,,,,,,,,,,
1. Weight of goods in tonnes,,,,,,,,,,,,
2. Weight of goods multiplied by distance in tonne kilometres,,,,,,,,,,,,
3. Domestic freight lifted by GB and NI-registered HGVs within the UK,,,,,,,,,,,,
4. The estimates for domestic haulage include the domestic legs of international trips,,,,,,,,,,,,
"5. Includes all journeys, including those within the island of Ireland, so figures will be higher than those in Table RFS0201 which exclude these",,,,,,,,,,,,
6. Cabotage is the national carriage of goods for hire or reward carried out by non-resident hauliers on a temporary basis in a host Member State,,,,,,,,,,,,
p Provisional,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,"Source: Continuing Survey of Road Goods Transport and International Road Haulage Survey, DfT",
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,Last updated: November 2012,
,,,,,,,,,,,Next update: November 2013,
,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
