Department for Transport Statistics,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,
,,,,,,,,
Table RAI0101 (alternative number TSGB0601),,,,,,,,
"Length of national railway route at year end, and passenger travel by national railway and London",,,,,,,,
Underground: annual from 1900,,,,,,,,
,,,,,,,,
,,Length of National Rail route (kilometres)1,,,National Rail,,London Underground ,
1981,,"17,431","3,729","14,394",719,29.7 ,541,4.1 
1982,,"17,229","3,753","14,371",630,27.2 ,498,3.7 
1983,,"16,964","3,750","14,375",694,29.5 ,563,4.3 
1984/85,,"16,816","3,798","14,304",701,29.5 ,672,5.4 
1985/86,,"16,752","3,809","14,310",686,30.4 ,732,6.0 
1986/87,3,"16,670","4,156","14,304",738,30.8 ,769,6.2 
1987/88,,"16,633","4,207","14,302",798,32.4 ,798,6.3 
1988/89,,"16,599","4,376","14,309",822,34.3 ,815,6.3 
1989/90,,"16,587","4,546","14,318",812,33.3 ,765,6.0 
1990/91,,"16,584","4,912","14,317",810,33.2 ,775,6.2 
1991/92,,"16,588","4,886","14,291",792,32.5 ,751,5.9 
1992/93,,"16,528","4,910","14,317",770,31.7 ,728,5.8 
1993/94,,"16,536","4,968","14,357",740,30.4 ,735,5.8 
1994/95,4,"16,542","4,970","14,359",735,28.7 ,764,6.1 
1995/96,,"16,666","5,163","15,002",761,30.0 ,784,6.3 ,,,,
1996/97,,"16,666","5,176","15,034",801,32.1 ,772,6.2 ,,,,
1997/98,,"16,656","5,166","15,024",846,34.7 ,832,6.5 ,,,,
1998/99,,"16,659","5,166","15,038",892,36.3 ,866,6.7 ,,,,
1999/00,3,"16,649","5,167","15,038",931,38.5 ,927,7.2 ,,,,
2000/01,,"16,652","5,167","15,042",957,38.2 ,970,7.5 ,,,,
2001/02,,"16,652","5,167","15,042",960,39.1 ,953,7.5 ,,,,
2002/03,,"16,670","5,167","15,042",976,39.7 ,942,7.4 ,,,,
2003/04,,"16,493","5,200","14,883","1,012",40.9 ,948,7.3 ,,,,
2004/05,3,"16,116","5,200","14,328","1,040",41.7 ,976,7.6 ,,,,
2005/06,,"15,810","5,205","14,356","1,076",43.1 ,970,7.6 ,,,,
2006/07,,"15,795","5,250","14,353","1,145",46.2 ,"1,040",7.9 ,,,,
2007/08,3,"15,814","5,250","14,484","1,218",48.9 ,"1,096",8.4 ,,,,
2008/09,,"15,814","5,250","14,494","1,266",50.6 ,"1,089",8.6 ,,,,
2009/10,"5,R","15,753","5,239","14,482","1,259",51.4 ,"1,059",8.5 ,,,,
2010/11,R,"15,777","5,262","14,506","1,356",54.5 ,"1,107",8.9 ,,,,
2011/12,P,"15,742","5,261","14,506","1,462",57.3 ,"1,171",9.5 ,,,,
1. The length of route is that managed by Network Rail (formerly Railtrack).  It does not include track managed by private companies or ,,,,,,,,,,,,
    Passenger Transport Executive services operating on separately managed track.,,,,,,,,,,,,
"2. Pre-1947 figures refer to track length, not route length, and include electrified sidings.  In 1947 electrified track kilometres totalled 3,370. ",,,,,,,,,,,,
3. Break in series due to a change in methodology (see Notes and Definitions).,,,,,,,,,,,,
"4. Break in series.  From 1994/95 figures include an element of double counting, as a journey involving more than one train is counted ",,,,,,,,,,,,
    for each train. This contrasts with former British Rail data for which a through ticket journey was counted only once. ,,,,,,,,,,,,
5. Break in series.  From 2009/10 National Rail passenger journeys and passenger kilometres figures include non-franchised train,,,,,,,,,,,,
"    operators. Figures prior to this include franchised operators only. In 2009/10 there were 1,258 million franchised passenger journeys",,,,,,,,,,,,
    and 51.1 billion passenger kilometres.,,,,,,,,,,,,
P. 2011/12 passenger journeys and kilometres are provisional.,,,,,,,,,,,,
,,,,,,,,,,,,
Rail: 020 7944 2419,,,,,,,,,,,,
London Underground: 020 7944 3094,,,,,,,,"Sources: ORR, London Underground",,,,
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,Last updated: December 2012,,,,
,,,,,,,,Next updated: December 2013,,,,
The figures in this table are outside the scope of National Statistics,,,,,,
,,,,,,
,,,,,,
,,,,,,
