Department for Transport statistics,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,
Table RDL0103,,,,,,,,,,,,,,,,,
"Road lengths (miles) by road type in Great Britain, 1914 - 2011",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Miles,
1997,"2,071",28,"2,099",,"7,331","21,473","28,804",,"30,903",,"18,774","52,367","138,981","210,122",,"241,026",
1998,"2,098",27,"2,126",,"7,259","21,570","28,829",,"30,954",,"18,771","52,439","139,327","210,537",,"241,490",
1999,"2,115",28,"2,143",,"7,269","21,668","28,937",,"31,080",,"18,769","52,512","139,674","210,954",,"242,033",
2000,"2,126",28,"2,154",,"7,271","21,690","28,960",,"31,115",,"18,765","52,583","140,019","211,368",,"242,482",
2001 1,"2,132",28,"2,160",,"7,064","21,925","28,990",,"31,149",,"18,763","52,656","140,368","211,788",,"242,937",,,,,,,,,,,,,,,,,,,
2002,"2,133",28,"2,161",,"6,636","22,366","29,002",,"31,163",,"18,760","52,728","140,717","212,206",,"243,368",,,,,,,,,,,,,,,,,,,
2003,"2,133",29,"2,161",,"5,975","23,014","28,988",,"31,149",,"18,758","52,802","141,081","212,641",,"243,790",,,,,,,,,,,,,,,,,,,
2004 2,"2,161",29,"2,189",,"5,684","23,315","28,998",,"31,188",,"18,752","52,334","138,617","209,702",,"240,890",,,,,,,,,,,,,,,,,,,
2005R,"2,157",30,"2,186",,"5,411","23,624","29,035",,"31,221",,"18,758","52,480","138,679","209,918",,"241,139",,,,,,,,,,,,,,,,,,,
"2006R, 2","2,180",30,"2,209",,"5,410","23,631","29,040",,"31,249",,"18,652","52,487","142,670","213,809",,"245,058",,,,,,,,,,,,,,,,,,,
2007R,"2,186",26,"2,212",,"5,387","23,658","29,045",,"31,256",,"18,806","52,458","142,847","214,110",,"245,367",,,,,,,,,,,,,,,,,,,
2008,"2,186",26,"2,211",,"5,365","23,648","29,012",,"31,224",,"18,741","52,552","142,594","213,887",,"245,110",,,,,,,,,,,,,,,,,,,
2009,"2,186",26,"2,212",,"5,341","23,720","29,061",,"31,273",,"18,729","52,700","142,384","213,813",,"245,086",,,,,,,,,,,,,,,,,,,
2010,"2,185",26,"2,211",,"5,275","23,748","29,022",,"31,233",,"18,760","52,709","142,275","213,745",,"244,978",,,,,,,,,,,,,,,,,,,
2011,"2,193",26,"2,218",,"5,287","23,752","29,039",,"31,257",,"18,770","52,712","142,265","213,747",,"245,004",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Figures for trunk and principal 'A' roads in England, from 2001 onwards, are affected by  the detrunking programme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. New information from 2004 and from 2006 enabled better estimates of road lengths to be made - see Notes and definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3180,,,,,,,,,,,,,,,,Source: Department for Transport,,,,,,,,,,,,,,,,,,,
Email: road.length@dft.gsi.gov.uk,,,,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,,,,Last updated: 28 June 2012
Methodology note,,,,,,,,,,,,,,,,Next update: June 2013
,,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
