,Air fares 2,1.30,1.20,1.50,1.90,1.00,2.50,2.20,2.20,1.80,1.80,1.20,2.70,,,
,Other transport and travel,3.00,2.90,3.00,2.80,2.90,2.90,3.30,3.30,3.30,3.40,3.60,3.90,,,
All transport services,,8.60,8.40,8.50,8.80,8.10,9.90,10.00,9.90,10.10,10.50,9.60,12.10,,,
"All transport  (excluding motor vehicle insurance 
and taxation and boat purchase and repairs)",,55.90,57.80,59.20,60.70,59.60,61.70,62.00,60.80,61.70,63.40,58.40,64.90,,,
All household expenditure,,385.70,398.30,406.20,418.10,434.40,443.40,455.90,449.00,459.20,471.00,455.00,473.60,,,
Percentage of household expenditure on transport,,14.5,14.5,14.6,14.5,13.7,13.9,13.6,13.5,13.5,13.5,12.8,13.7,,,
Key transport expenditure totals3:,,,,,,,,,,,,,,,,
,Motoring costs,55.10,58.50,61.70,62.40,62.60,63.80,62.40,61.40,62.00,63.60,60.00,63.50,,,
,Fares and other travel costs,9.50,9.50,9.70,9.60,9.50,11.10,11.10,10.90,10.90,14.20,11.00,13.60,,,
,All transport and travel,64.50,68.00,71.40,72.00,72.10,74.90,73.50,72.30,72.90,77.80,71.00,77.10,,,
Adjusted for general inflation 2010 prices: ,,,,,,,,,,,,,,,,
,Motoring costs,71.90,75.20,77.70,76.40,74.40,73.90,70.40,69.30,67.10,66.20,62.80,63.50,,,
,Fares and other travel costs,12.40,12.20,12.20,11.80,11.30,12.90,12.50,12.30,11.80,14.80,11.50,13.60,,,
,All transport and travel,84.20,87.40,89.90,88.20,85.70,86.70,82.90,81.60,78.90,81.00,74.30,77.10,,,
,,,,,,,,,,,,,
Note:  For further details see Family Spending: A Report on the 2010 Loving Costs and Food Survey available at: ,,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/family-spending/family-spending/family-spending-2011-edition/index.html,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1  Data for 2000/01 are based on old Family Expenditure Survey categories which include some items excluded under COICOP, eg motor caravans",,,,,,,,,,,,,
"    audio equipment, helmets (see Notes and Definitions). Additional changes were made in 2006, see the link above for details.",,,,,,,,,,,,,
2  Excludes air fare component of package holidays abroad.,,,,,,,,,,,,,
"3  Using Family Expenditure Survey classification,  includes expenditure on motorcycles, bicycles,  boats and vehicle taxation and insurance. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Telephone: 020 7944 4442,,,,,,,,,,,,,"Source: Living Costs and Food Survey, ONS"
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,Last updated: November 2011
,,,,,,,,,,,,,Next update: 2013
The figures in this table are National Statistics,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,





,,,,,,,,,,,,,
