,,,Railways,202,147,170,195,256,223,187
,,,Other transport,12,6,7,7,9,6,4
,Local government expenditure,,,392,412,445,461,425,436,438
,,Capital,,195,210,233,227,198,206,221
,,,Local roads,163,185,171,192,176,181,194
,,,Local public transport,29,20,61,33,22,25,27
,,,Other transport,4,4,1,2,0,0,0
,,Current / resource,,196,202,212,234,226,230,217
,,,Local roads,148,149,156,164,155,165,164
,,,Local public transport,28,29,30,36,34,33,33
,,,Other transport,20,24,25,34,37,32,20
,Public Corporation expenditure,,,7,8,6,4,4,3,4
,,,Capital: National roads,1,3,1,1,0,0,0
,,,Capital: Railways,6,5,4,3,3,3,4
,,,,,,,,,,
Table TSGB0117 (continued),,,,,,,,,,
UK Public Expenditure on Transport:1 from 2005/06 (continued),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,£ million (outturn prices),,
,,,,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12
Great Britain,,,,"16,303","19,149","19,712","20,165","22,128","20,489","19,328"
,Central government expenditure 2,,,"6,667","9,376","9,656","9,718","10,992","9,827","9,176"
,,Capital,,"3,199","5,098","5,259","6,166","7,008","6,342","5,891"
,,,National roads,"1,068","1,533","1,424","1,539","2,551","2,148","1,735"
,,,Local roads,0,3,43,102,220,134,104
,,,Local public transport,0,0,0,0,6,6,18
,,,Railways,"2,107","3,532","3,724","4,515","4,217","4,038","4,021"
,,,Other transport,25,31,68,10,14,15,12
,,Current / resource,,"3,467","4,278","4,398","3,552","3,984","3,486","3,284"
,,,National roads,"1,608","1,741","1,768","1,934","1,615","1,440","1,368"
,,,Local roads,0,0,0,0,0,0,0
,,,Local public transport,444,692,767,701,733,679,668
,,,Railways,"1,026","1,428","1,433",475,"1,149",953,896
,,,Other transport,390,417,429,442,486,414,353
,Local government expenditure,,,"7,996","8,120","8,542","8,920","9,694","9,221","8,402"
,,Capital,,"3,398","3,373","3,537","3,916","4,332","4,359","3,788"
,,,Local roads,"2,663","2,670","2,751","3,153","3,084","3,270","2,628"
,,,Local public transport,609,538,532,541,"1,035",963,"1,015"
,,,Railways,28,108,88,6,8,6,7
,,,Other transport,98,58,167,216,205,121,138
,,Current / resource,,"4,598","4,747","5,005","5,004","5,362","4,861","4,614"
,,,National roads,55,56,16,16,16,15,16
,,,Local roads,"2,046","2,037","2,074","2,077","2,297","1,966","1,844"
,,,Local public transport,"1,452","1,579","1,748","2,211","2,045","1,835","1,782"
,,,Railways,947,974,"1,008",481,769,812,770
,,,Other transport,99,101,159,220,235,233,202
,GB Public Corporations,,,"1,640","1,653","1,513","1,527","1,442","1,441","1,750"
,,Capital,,"1,640","1,653","1,513","1,527","1,442","1,441","1,750"
,,,Capital: National roads,17,27,26,18,10,0,0
,,,Capital: Railways,"1,605","1,597","1,480","1,501","1,426","1,436","1,744"
,,,Capital: Other transport,18,29,7,8,6,6,6
Northern Ireland,,,,357,386,541,562,591,701,598
Outside  UK 6,,,,211,188,179,133,96,99,114
Not Identifiable by country 7,,,,168,161,173,182,189,166,164
UK Total,,,,"17,039","19,885","20,605","21,042","23,003","21,456","20,205"
,,,,,,,,,,
"1. Figures taken from Country and Regional Analysis, HMT  for 2007/08 onwards see",,,,,,,,,,
    http://www.hm-treasury.gov.uk/9802.htm,,,,,,,,,,
"    earlier figures were published in the similar exercises in 2011, see for example",,,,,,,,,,
    http://www.hm-treasury.gov.uk/pespb_natstats_oct2011.htm,,,,,,,,,,
   Includes revisions for previous years.,,,,,,,,,,
2. Figures exclude grants to local authorities. Net expenditure includes EU grants treated as receipts.,,,,,,,,,,
"3. In England, funding to Highways Agency, excluding the cost of capital.",,,,,,,,,,
4.  Local Roads capital expenditure in England was in London.,,,,,,,,,,
5. The railway category covers both National Rail and the London Underground. It also includes those companies considered to be in public ,,,,,,,,,,
"    ownership, such as London and Continental Railways and GNER.",,,,,,,,,,
"6. Expenditure attributed to ""outside the UK"" is largely capital expenditure attributed to public corporations for spend on railways, with a small amount ",,,,,,,,,,
    to Central Government railway spend.,,,,,,,,,,
"7. Expenditure in the not identifiable by country is ""other transport"" and consists largely of expenditure on areas such as Civil Aviation Authority, ",,,,,,,,,,
"    Transport Security, Civil aviation services, Accident and Investigation work and others which are deemed to benefit the whole country.",,,,,,,,,,
,,,,,,,,,,
Telephone: 020 7944 4442,,,,,,,,,,Source: HM Treasury
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,,,,,,,
,,,,,,,,,,Last updated: November 2012
The figures in this table are National Statistics,,,,,,,,,,Next update: November 2013
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
