1978, 614 ,," 2,546 "," 1,827 ", 743 ," 7,174 "," 15,173 "," 28,078 "," 1,421 "
1979, 606 ,," 2,248 "," 1,651 ", 613 ," 6,555 "," 13,558 "," 25,232 "," 1,305 "
1980, 617 ,," 1,992 "," 1,600 ", 554 ," 6,428 "," 14,578 "," 25,769 "," 1,275 "
1981, 604 ,," 1,589 "," 1,600 ", 470 ," 5,985 "," 11,870 "," 22,117 "," 1,118 "
1982, 582 ,," 1,340 "," 1,580 ", 409 ," 5,101 "," 10,221 "," 19,233 ", 985 
1983, 602 ,," 1,099 "," 1,543 ", 372 ," 3,911 "," 8,367 "," 15,894 ", 866 
1984, 636 ,, 893 ," 1,572 ", 349 ," 3,398 "," 7,463 "," 14,312 ", 777 
1985, 616 ,, 728 ," 1,489 ", 335 ," 2,851 "," 6,191 "," 12,208 ", 693 
1986, 588 ,, 564 ," 1,369 ", 244 ," 1,864 "," 3,083 "," 7,711 ", 545 
,,,,,,,,,
End of year,Passenger,Other   cargo,   Ro-Ro,  Container,Specialised       carriers,Bulk       carriers,  Tankers,Total,Vessels
,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,number
1986,259,510,561,"1,369",95,"2,003","3,249","8,046",546
1987,259,410,591,"1,335",132,"1,322","3,010","7,059",506
1988,259,332,586,"1,335",128,"1,301","2,661","6,603",482
1989,242,277,510,"1,368",122,"1,253","2,252","6,025",450
1990,269,257,555,"1,275",118,828,"2,210","5,512",427
1991,271,242,604,"1,091",99,489,"2,166","4,963",409
1992,276,174,632,"1,015",100,446,"2,188","4,831",363
1993,272,145,657,"1,017",124,293,"2,161","4,670",344
1994,281,212,874,"1,236",110,294,"2,481","5,488",360
1995,360,282,910,"1,326",52,485,"2,346","5,761",365
1996,360,269,"1,068","1,110",49,819,"2,383","6,057",377
1997,361,254,"1,093","1,113",49,831,"3,407","7,108",392
1998,358,307,"1,123","1,379",49,854,"2,977","7,048",416
1999,363,293,"1,161","1,502",103,761,"3,253","7,436",421
2000,762,321,"1,332","2,140",151,844,"3,971","9,521",471
2001,746,502,"1,431","2,362",151,946,"4,516","10,653",534
2002,945,570,"1,617","3,303",100,"1,491","4,472","12,497",610,,
2003,"1,130",825,"1,637","4,548",121,"1,729","5,991","15,982",723,,
2004,711,830,"1,608","5,072",165,"2,302","6,214","16,902",754,,
2005,539,885,"1,589","5,539",345,"2,926","6,978","18,801",795,,
2006,472,936,"1,466","5,900",604,"2,839","7,536","19,753",814,,
2007,627,763,"1,534","6,304",925,"3,050","7,401","20,603",816,,
2008,592,707,"1,531","7,503","1,072","3,081","8,187","22,673",842,,
2009,519,737,"1,689","9,108","1,357","3,453","8,951","25,814",880,,
2009,520,738,"1,692","9,108","1,356","3,454","8,944","25,813",884,,
2010,539,710,"1,870","8,892","1,370","4,409","9,494","27,284",861,,
2011,210,854,"1,854","9,663","1,425","5,632","9,690","29,328",871,,
,,,,,,,,,,,
,,,,,,,,,,,
1  See Technical Notes for an explanation of changes in classification in 1986 and 2009.,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/shipping-fleet-statistics,,,,,,,,,,,
,,,,,,,,,,,
Telephone: 020 7944 4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,Source: DfT analysis of IHS Global data; DfT data prior to 1986,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Last updated: September 2012,,,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of  National Statistics.,,,,,,,,,Next update: September 2013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
