River Clyde,2.44,2.51,2.45,2.53,1.53,1.66,0.95,1.61,1.29,1.34,1.29,1.59,1.53,2.08,2.53,1.46,2.34,2.56,
River Forth,8.41,8.40,8.32,8.81,8.56,7.54,11.02,9.59,8.53,8.58,8.52,8.47,8.49,8.28,9.52,8.52,8.22,7.99,
River Humber,6.24,6.82,6.55,6.82,6.49,6.24,6.21,6.11,5.53,5.29,5.51,5.79,5.32,5.67,5.50,3.91,4.52,4.12,
River Ouse,2.56,2.82,2.95,3.28,3.16,3.17,3.01,2.83,2.45,2.15,2.41,2.84,2.45,2.56,2.39,1.83,2.18,2.03,
Aire and Calder,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
River Trent,3.01,3.10,2.69,2.62,2.36,2.21,2.45,2.61,2.35,2.31,2.33,1.92,2.06,2.21,1.98,1.10,1.36,1.28,
River Orwell,4.59,3.49,2.07,1.96,2.18,2.39,2.93,2.92,3.34,3.90,3.56,3.58,3.51,2.80,2.57,2.81,2.87,2.54,
All waterways,54.81,54.13,51.46,53.70,53.06,49.52,44.69,49.23,44.99,44.21,42.02,45.33,47.42,48.65,48.22,38.17,40.32,40.38,
,,,,,,,,,,,,,,,,,,,
c)  Total,,,,,,,,,,,,,,,,,,Million tonnes,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
River Thames,24.13,24.18,23.24,24.73,24.97,22.52,14.47,20.45,19.25,18.05,15.74,18.93,20.77,22.00,21.67,16.39,15.68,16.73,
River Medway,3.03,2.91,2.32,2.68,2.94,3.23,1.64,2.48,2.96,3.30,2.39,1.89,2.48,2.46,2.32,2.03,2.12,1.62,
River Severn,0.32,0.32,0.31,0.31,0.35,0.31,0.60,0.54,0.56,0.55,0.54,0.71,0.65,0.75,0.70,0.60,0.60,0.76,
Manchester Ship Canal / River Mersey,6.61,7.36,7.46,6.41,6.71,6.93,8.01,7.27,5.74,5.30,5.86,6.37,6.88,6.72,6.11,5.02,5.57,5.39,
River Clyde,2.44,2.51,2.45,2.53,1.53,1.66,0.95,1.61,1.30,1.34,1.29,1.59,1.53,2.08,2.53,1.46,2.34,2.56,
River Forth,8.41,8.40,8.32,8.81,8.56,7.54,11.02,9.59,8.53,8.58,8.52,8.47,8.49,8.28,9.52,8.52,8.22,7.99,
River Humber,6.83,7.30,7.01,7.19,6.90,6.63,6.46,6.33,5.93,5.63,5.94,6.37,5.75,6.01,5.79,4.16,4.77,4.57,
River Ouse,2.81,3.08,3.22,3.50,3.38,3.45,3.41,3.20,2.86,2.58,2.78,3.35,2.88,2.85,2.68,1.99,2.40,2.36,
Aire and Calder,2.32,2.11,2.02,2.06,1.72,1.61,1.64,1.57,1.06,0.50,0.37,0.40,0.39,0.30,0.29,0.19,0.37,0.27,
River Trent,3.27,3.34,2.92,2.81,2.62,2.48,2.77,2.94,2.65,2.57,2.59,2.17,2.30,2.38,2.16,1.19,1.52,1.50,
River Orwell,4.59,3.49,2.07,1.96,2.18,2.39,2.93,2.92,3.34,3.90,3.56,3.58,3.51,2.80,2.57,2.81,2.87,2.54,
All waterways,61.86,60.72,57.20,58.45,57.32,53.80,48.99,53.49,48.95,47.39,44.62,48.72,50.97,52.01,51.91,41.44,43.26,43.34,
"1. Where goods are carried on more than one inland waterway route, the tonnage lifted is counted on each route ",,,,,,,,,,,,,,,,,,,
     travelled. The 'All waterways' figures exclude all such double counting.,,,,,,,,,,,,,,,,,,,
Technical Note,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 2021,,,,,,,,,,,,,,,,,,Source: DfT Port Statistics and Barge Survey,
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,Last updated: December 2012,
,,,,,,,,,,,,,,,,,,Next update: December 2013,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
