        All ro-ro self-propelled traffic,"5,235","1,121",351,"17,128",-,990,270,29,"3,866",-,"6,225","1,391",380,"20,994"
Roll-on/roll-off (non self-propelled),,,,,,,,,,,,,,
        Unaccompanied road goods trailers,819,570,249,"9,509",,513,468,46,"6,993",,"1,332","1,038",294,"16,503"
"        Unaccompanied caravans, agricultural and industrial vehicles",19,-,-,94,,15,-,-,25,,34,-,-,119
"        Rail wagons, shipborne port to port trailers, and barges                                                                                                                                                                                               ",352,134,218,"2,603",,3,1,2,12,,355,135,220,"2,614"
        Other mobile non self-propelled units,1,1,-,8,,-,-,-,-,,1,1,-,8
        All ro-ro non self-propelled traffic,"1,191",705,467,"12,214",-,531,469,48,"7,030",-,"1,722","1,174",515,"19,244"
All outward traffic,"8,642","3,013","1,847","51,468",,"1,702",870,126,"12,734",,"10,344","3,883","1,973","64,202"

Information on methodology and quality can be found in the Technical Note:,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/ports-statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 4131,,,,,,,,,,,,,,Source: DfT Port Statistics
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,Last updated:  20 September 2012
,,,,,,,,,,,,,,Next update: September 2013
The figures in this table are National Statistics,,,,,,,,,,,,,,
