Department for Transport Statistics,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,
Table port0104,,,,,,,,,,,,
"All UK port freight traffic, foreign, coastwise and one-port by direction: 1965 - 2011 1,2 ",,,,,,,,,,,,
,,,,,,,,,,,,Million tonnes
1987,154.9,151.0,305.9,59.8,61.2,121.0,31.8,12.9,44.7,246.6,225.0,471.6
1988,169.7,142.2,311.9,66.3,65.1,131.3,34.2,14.6,48.8,270.2,221.9,492.1
1989,174.6,127.5,302.1,64.1,64.8,128.9,35.0,14.8,49.8,273.7,207.1,480.9
1990,183.5,136.2,319.6,61.0,61.5,122.3,34.1,15.9,50.0,278.4,213.6,492.0
1991,182.1,143.2,325.3,61.7,62.8,124.4,29.8,15.1,44.9,273.6,221.0,494.6
1992,182.6,150.2,332.8,58.2,60.8,119.0,29.0,14.9,43.9,269.8,225.9,495.7
1993,189.5,157.5,346.9,59.4,62.0,121.5,23.8,14.0,37.8,272.7,233.5,506.2
1994,190.1,179.0,369.1,63.3,64.8,128.1,28.6,12.4,41.0,281.9,256.2,538.1
1995,190.3,178.8,369.1,67.9,72.1,140.0,26.7,12.4,39.1,284.9,263.3,548.2
1996,192.7,175.8,368.5,69.9,75.3,145.2,25.1,12.4,37.5,287.7,263.5,551.2
1997,205.7,179.3,385.0,67.5,72.0,139.5,21.8,12.2,34.0,295.0,263.5,558.5
1998,209.3,181.7,390.9,70.7,71.9,142.7,26.1,8.8,34.9,306.1,262.4,568.5
1999,203.6,184.4,387.9,67.0,71.1,138.1,36.4,3.2,39.6,307.0,258.7,565.6
2000,220.9,193.1,414.0,57.4,61.9,119.3,38.0,1.7,39.8,316.3,256.7,573.1
2001,238.4,180.4,418.7,57.3,54.9,112.2,33.3,2.2,35.4,328.9,237.5,566.4
2002,220.9,178.2,399.1,57.8,57.3,115.2,41.7,2.0,43.7,320.5,237.5,557.9
2003,229.3,174.0,403.3,56.9,56.1,113.0,37.2,1.7,39.0,323.4,231.9,555.3,,
2004,250.4,169.6,420.0,58.3,59.7,117.9,33.4,1.4,34.8,342.1,230.6,572.8,,
2005,262.3,163.7,426.0,61.4,64.9,126.2,30.4,1.9,32.3,354.0,230.5,584.5,,
2006,278.9,160.6,439.5,56.7,56.5,113.2,29.0,1.6,30.6,364.7,218.6,583.3,,
2007,273.3,164.5,437.9,57.6,57.2,114.8,26.9,2.0,28.9,357.8,223.7,581.5,,
2008,266.0,156.1,422.1,56.2,57.9,114.1,24.1,1.9,26.0,346.4,215.8,562.2,,
2009R ,230.2,139.0,369.2,53.2,54.3,107.6,20.3,3.8,24.2,303.7,197.2,500.9,,
2010R ,244.0,146.9,391.0,50.3,50.2,100.5,18.3,2.1,20.4,312.6,199.2,511.9,,
2011,259.0,139.8,398.8,49.4,49.8,99.2,19.2,2.3,21.5,327.6,191.9,519.5,,
,,,,,,,,,,,,,,
1 Great Britain only prior to 1980.,,,,,,,,,,,,,,
2 Estimated prior to 1974.,,,,,,,,,,,,,,
R Revisions to some minor port figures in 2009 and 2010,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Information on methodology and quality can be found in the Technical Note,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/ports-statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 4131,,,,,,,,,,,,Source: DfT Port Statistics
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: 20 September 2012
,,,,,,,,,,,,Next update: September 2013
The figures in this table are National Statistics,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
